,OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH,active
3415,1966-040BJ,NIMBUS 2 DEB,40645,US,107.67,100.39,1160.0,1078.0,1966-05-15,0
3416,1966-040BH,NIMBUS 2 DEB,40644,US,107.64,100.35,1162.0,1073.0,1966-05-15,0
3417,1966-040BG,NIMBUS 2 DEB,40643,US,107.69,100.41,1164.0,1076.0,1966-05-15,0
3418,1966-040BF,NIMBUS 2 DEB,40642,US,107.28,100.31,1141.0,1060.0,1966-05-15,0
3419,1966-040BE,NIMBUS 2 DEB,40641,US,107.64,100.4,1156.0,1079.0,1966-05-15,0
3420,2015-023B,FALCON 9 R/B,40618,US,497.39,25.36,28636.0,197.0,2015-04-27,0
3421,2015-023A,TURKMENALEM 52E/MONACOSA,40617,TMMC,1436.11,0.01,35799.0,35775.0,2015-04-27,1
3422,2015-022C,ARIANE 5 R/B,40615,FR,570.49,5.86,32593.0,222.0,2015-04-26,0
3424,2015-022A,THOR 7,40613,NOR,1436.07,0.01,35798.0,35774.0,2015-04-26,1
3425,1995-015FK,DMSP 5D-2 F13 DEB,40612,US,101.44,98.79,831.0,823.0,1995-03-24,0
3426,1995-015FJ,DMSP 5D-2 F13 DEB,40611,US,101.64,98.81,862.0,811.0,1995-03-24,0
3427,1995-015FH,DMSP 5D-2 F13 DEB,40610,US,101.43,98.78,848.0,805.0,1995-03-24,0
3428,1995-015FG,DMSP 5D-2 F13 DEB,40609,US,101.41,98.78,828.0,823.0,1995-03-24,0
3429,1995-015FF,DMSP 5D-2 F13 DEB,40608,US,101.24,98.74,841.0,794.0,1995-03-24,0
3430,1995-015FD,DMSP 5D-2 F13 DEB,40606,US,101.09,98.76,815.0,806.0,1995-03-24,0
3431,1995-015FC,DMSP 5D-2 F13 DEB,40605,US,101.12,98.76,837.0,787.0,1995-03-24,0
3432,1995-015FB,DMSP 5D-2 F13 DEB,40604,US,98.76,98.66,791.0,608.0,1995-03-24,0
3433,1995-015FA,DMSP 5D-2 F13 DEB,40603,US,96.72,98.67,653.0,550.0,1995-03-24,0
3434,1995-015EZ,DMSP 5D-2 F13 DEB,40602,US,100.24,98.78,800.0,740.0,1995-03-24,0
3435,1995-015EY,DMSP 5D-2 F13 DEB,40601,US,101.35,98.79,835.0,811.0,1995-03-24,0
3436,1995-015EX,DMSP 5D-2 F13 DEB,40600,US,102.13,98.92,896.0,824.0,1995-03-24,0
3437,2014-088D,YAOGAN 26 DEB,40594,PRC,93.72,97.33,461.0,452.0,2014-12-27,0
3438,1964-051F,SCOUT X-4 DEB,40592,US,102.08,79.9,906.0,809.0,1964-08-25,0
3439,1995-015EU,DMSP 5D-2 F13 DEB,40585,US,98.67,97.6,714.0,677.0,1995-03-24,0
3440,1995-015ES,DMSP 5D-2 F13 DEB,40583,US,100.76,98.74,827.0,762.0,1995-03-24,0
3441,1995-015ER,DMSP 5D-2 F13 DEB,40582,US,102.9,98.75,965.0,827.0,1995-03-24,0
3442,1995-015EQ,DMSP 5D-2 F13 DEB,40581,US,101.67,98.85,859.0,817.0,1995-03-24,0
3443,1995-015EP,DMSP 5D-2 F13 DEB,40580,US,101.81,98.82,860.0,829.0,1995-03-24,0
3444,1995-015EN,DMSP 5D-2 F13 DEB,40579,US,100.33,98.62,824.0,724.0,1995-03-24,0
3445,1995-015EM,DMSP 5D-2 F13 DEB,40578,US,99.75,98.87,806.0,688.0,1995-03-24,0
3446,1995-015EL,DMSP 5D-2 F13 DEB,40577,US,101.26,98.76,833.0,804.0,1995-03-24,0
3447,1995-015EK,DMSP 5D-2 F13 DEB,40576,US,100.94,98.74,831.0,776.0,1995-03-24,0
3448,1995-015EJ,DMSP 5D-2 F13 DEB,40575,US,101.09,98.74,827.0,794.0,1995-03-24,0
3449,1995-015EH,DMSP 5D-2 F13 DEB,40574,US,102.34,98.85,913.0,826.0,1995-03-24,0
3450,1995-015EG,DMSP 5D-2 F13 DEB,40573,US,99.96,98.62,807.0,706.0,1995-03-24,0
3451,1995-015EF,DMSP 5D-2 F13 DEB,40572,US,100.75,98.71,819.0,769.0,1995-03-24,0
3452,1995-015EE,DMSP 5D-2 F13 DEB,40571,US,100.12,98.69,818.0,710.0,1995-03-24,0
3453,1995-015ED,DMSP 5D-2 F13 DEB,40570,US,101.05,98.75,824.0,792.0,1995-03-24,0
3454,1995-015EC,DMSP 5D-2 F13 DEB,40569,US,100.77,98.74,814.0,776.0,1995-03-24,0
3455,1995-015EB,DMSP 5D-2 F13 DEB,40568,US,101.75,98.8,870.0,814.0,1995-03-24,0
3456,1995-015EA,DMSP 5D-2 F13 DEB,40567,US,99.36,98.78,781.0,675.0,1995-03-24,0
3457,1995-015DZ,DMSP 5D-2 F13 DEB,40566,US,99.97,98.71,816.0,698.0,1995-03-24,0
3458,1995-015DY,DMSP 5D-2 F13 DEB,40565,US,104.56,98.78,1112.0,835.0,1995-03-24,0
3459,1995-015DX,DMSP 5D-2 F13 DEB,40564,US,100.95,98.75,825.0,782.0,1995-03-24,0
3460,1995-015DW,DMSP 5D-2 F13 DEB,40563,US,101.31,98.76,836.0,805.0,1995-03-24,0
3461,1995-015DV,DMSP 5D-2 F13 DEB,40562,US,101.32,98.79,832.0,811.0,1995-03-24,0
3462,1995-015DU,DMSP 5D-2 F13 DEB,40561,US,99.46,98.9,776.0,690.0,1995-03-24,0
3463,1995-015DT,DMSP 5D-2 F13 DEB,40560,US,101.21,98.76,830.0,802.0,1995-03-24,0
3464,1995-015DS,DMSP 5D-2 F13 DEB,40559,US,102.12,98.6,902.0,816.0,1995-03-24,0
